3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH
Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right
28,29,32,33,34,35,36,37,38,39,40,42,43,45,44,47,48,28,29,32,32,33,35,36,36,37,38,39,41,44,44,46,47,48,28,29,31,32,32,33,36,36,37,39,39,40,41,43,45,45,46,47,48,28,29,31,32,33,33,35,36,36,37,38,39,41,44,44,45,45,28,31,32,34,35,36,37,38,40,42,44,44,45,46,46,47,47,48,28,31,32,34,36,36,37,39,39,40,41,44,43,45,45,47,48,48,28,29,30,32,34,36,36,37,38,39,40,41,42,28,29,30,32,34,36,36,37,38,39,40,41,42,43,45,46,47,47,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,126,0,0,0,12,0,0,0,146,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,302,0,5,0,0,0,0,0,11,0,0,0,3280,1,0,0,1,0,5,0,4,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,14,5,1,0,0,1,15,0,0,46,0,0,0,255,1072,0,2,0,0,0,0,0,0,0,0,0,0,2,0
7,0,0,0,0,0,1005,0,0,0,77,0,0,9,743,0,4,146,0,0,0,0,0,0,0,0,0,0,53,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1057,1767,78,88,0,0,12,0,7,74,0,0,10,2347,55,8,4,132,13,549,0,37,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,32,0,6,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,41,0,0,70,6,360,238,448,245,0,26,95,388,0,2,900,0,0,0,631,6516,0,171,46,6,2,19,5,214,0,152,1,0,242,0
23,0,0,0,17,0,968,15,9,0,65,0,0,57,276,0,29,242,0,5,1,0,0,0,0,0,9,0,97,0,86,0,0,0,0,0,0,0,0,0,0,0,110,932,800,266,166,27,7,35,5,76,98,0,0,44,1254,104,61,122,197,93,1025,1,42,0,0,4,3,304,2,0,0,0,0,0,0,28,0,0,95,0,13,575,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,78,0,129,0,0,231,141,208,261,478,366,25,275,353,420,100,90,646,5,7,2,737,2341,0,311,255,88,28,258,141,423,4,273,17,0,233,0
17,0,1,0,49,3,744,28,28,1,116,2,0,127,198,5,93,245,0,34,2,0,0,0,3,22,51,19,126,0,91,0,0,0,0,0,0,0,0,0,1,6,373,375,433,207,205,48,44,55,50,171,98,0,0,110,962,114,82,169,284,155,879,34,60,0,0,7,14,248,6,0,0,0,0,0,0,33,10,0,58,0,31,569,0,0,12,0,0,0,2,28,0,10,1,0,1,2,22,24,0,72,0,124,0,6,235,142,199,314,364,360,112,224,275,453,204,237,356,18,61,7,650,1311,0,259,242,216,51,208,183,233,41,184,29,8,146,4
31,0,16,8,44,53,636,35,25,8,133,9,0,170,160,7,155,239,0,45,12,12,0,0,16,58,52,48,132,0,140,5,10,0,0,0,0,0,0,2,11,27,478,275,399,185,256,72,65,76,79,148,123,2,0,134,815,124,151,165,280,169,830,128,154,19,0,17,26,236,14,8,12,9,0,0,3,34,43,0,62,0,58,628,0,0,11,0,0,0,8,22,0,19,4,0,19,7,45,38,1,53,0,89,1,31,305,150,169,373,341,398,160,187,250,538,218,289,332,24,206,15,733,1057,0,213,208,245,104,274,147,215,106,170,36,24,138,28
56,0,32,69,41,102,618,33,22,40,129,28,0,196,139,18,192,277,0,40,10,22,0,9,43,61,69,107,163,0,168,17,31,0,0,0,0,6,20,40,44,55,483,268,351,191,250,57,98,128,102,141,130,4,11,180,765,134,227,291,407,210,1097,186,234,38,0,19,38,225,20,24,44,24,0,10,6,30,61,0,148,0,60,630,0,8,16,0,0,0,9,24,0,24,29,0,41,13,45,58,6,61,0,97,5,42,336,183,184,462,353,406,221,198,236,573,211,293,294,51,326,29,800,973,0,197,240,345,180,644,168,226,134,172,35,52,128,46
87,0,54,155,32,131,646,43,20,53,116,55,0,245,130,23,253,347,0,50,26,19,0,22,58,63,63,145,184,0,190,41,39,0,0,0,2,15,53,100,182,85,447,261,366,230,247,62,111,180,128,177,144,6,31,236,764,173,327,336,394,234,1124,189,314,80,0,21,38,243,24,49,84,61,1,15,12,52,66,0,144,0,78,667,2,10,34,0,0,0,9,38,6,26,66,0,47,18,58,86,7,55,0,101,20,56,378,238,184,554,389,431,239,204,261,624,205,304,324,122,459,41,940,908,0,188,306,452,278,519,170,218,178,177,51,62,128,56
128,0,85,209,55,148,704,61,22,80,120,84,5,323,163,48,342,441,1,50,55,18,0,20,79,96,60,139,232,0,208,73,46,1,0,0,22,19,142,160,270,115,551,215,391,284,278,77,101,235,140,166,126,6,60,301,814,227,434,350,478,299,1084,208,413,91,0,16,65,232,41,90,108,73,5,19,13,75,85,0,121,8,125,679,5,11,42,5,8,0,6,60,52,30,120,0,114,19,98,109,22,101,1,136,49,58,397,266,182,552,405,464,309,217,310,621,186,288,260,187,840,47,878,938,2,220,335,473,405,729,177,246,232,190,54,56,147,65
