Cohort,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Condition,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
Hemisphere,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right
Map,29,32,32,32,32,33,35,35,36,38,38,39,41,41,42,43,47,29,30,30,32,32,33,35,35,35,35,36,38,39,39,40,41,43,44,45,46,46,47,47,28,29,30,31,32,34,35,36,37,39,41,41,43,43,44,45,46,47,28,29,30,31,32,34,35,36,37,40,41,43,43,44,45,46,47,28,29,32,33,34,35,36,37,38,39,40,42,43,45,44,47,48,28,29,32,32,33,35,36,36,37,38,39,41,44,44,46,47,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0,0,0,0,0,1,0,0,0,0,6,12,0,0,0,0,0,0,284,0,2,0,0,0,0,37,0,0,0,4,1,0,0,0,23,118,14,14,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,36,0,0,0,0,0,79,0,0,152,166,0,0,0,0,0,0,126,0,0,0,12,0,0,0,146,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,21,0,0,0,1,1,59,38,33,57,53,142,229,3,5,1,29,32,0,230,183,32,0,0,8,3,184,0,53,138,50,61,0,370,30,141,699,319,199,0,0,0,0,0,0,2,0,98,58,13,0,0,24,10,1,53,72,5,0,0,6,0,0,17,66,0,0,0,0,53,207,0,0,306,310,7,0,0,0,0,0,1005,0,0,0,77,0,0,9,743,0,4,146,0,0,0,0,0,0,0,0,0,0,53,0,11,0,0,0
4,25,7,0,0,25,71,166,206,148,230,433,224,262,14,41,32,161,135,1,330,243,81,2,2,29,110,216,7,167,231,57,65,0,845,202,187,468,434,343,0,0,0,5,0,4,34,0,75,128,240,0,2,62,41,27,63,76,147,0,0,45,0,0,40,158,0,25,0,9,194,211,0,0,433,329,23,0,0,0,17,0,968,15,9,0,65,0,0,57,276,0,29,242,0,5,1,0,0,0,0,0,9,0,97,0,86,0,0,0
5,63,30,0,6,90,160,213,236,256,243,530,306,279,31,83,72,187,213,10,509,278,723,249,34,33,110,357,57,215,218,103,43,14,1049,267,432,510,465,387,0,3,12,83,0,53,132,0,88,195,360,0,10,120,58,118,77,70,354,0,0,92,0,0,56,336,12,81,0,25,379,328,0,0,608,324,17,0,1,0,49,3,744,28,28,1,116,2,0,127,198,5,93,245,0,34,2,0,0,0,3,22,51,19,126,0,91,0,0,0
