1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH
Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right
28,30,30,31,32,33,33,35,35,35,36,36,37,37,38,39,39,40,41,42,44,44,44,47,48,28,30,30,31,33,33,34,34,34,35,36,36,37,37,38,38,39,39,40,41,41,43,44,44,46,28,29,30,31,32,33,34,35,37,39,40,41,42,43,43,44,45,47,28,29,30,31,32,33,32,35,37,40,41,41,43,44,45,46,48,48,28,29,30,32,34,36,36,37,38,39,40,41,42,28,29,30,32,34,36,36,37,38,39,40,41,42,43,45,46,47,47,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,0,33,0,0,0,0,64,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,2,181,0,2,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,86,14,5,1,0,0,1,15,0,0,46,0,0,0,255,1072,0,2,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,55,0,0,0,0,0,1,0,57,2,8,39,0,308,0,0,0,0,39,0,0,0,69,0,611,0,23,6,0,195,0,0,0,0,0,0,119,0,23,2,0,0,3,0,0,0,6,0,0,0,7,0,0,293,0,1,23,54,231,35,184,15,24,241,0,0,0,0,0,19,0,30,0,63,0,5,0,4,0,0,0,36,70,6,360,238,448,245,0,26,95,388,0,2,900,0,0,0,631,6516,0,171,46,6,2,19,5,214,0,152,1,0,242,0
0,0,3,3,252,14,16,0,17,20,12,0,160,27,85,213,0,390,0,0,5,1,82,0,0,0,118,0,743,11,105,56,0,132,0,29,0,2,1,15,80,3,87,78,33,6,33,0,0,13,9,0,0,0,20,14,21,260,3,106,195,93,269,218,230,197,134,254,0,0,0,0,2,119,7,95,0,227,12,50,0,46,0,18,0,37,231,141,208,261,478,366,25,275,353,420,100,90,646,5,7,2,737,2341,0,311,255,88,28,258,141,423,4,273,17,0,233,0
0,0,23,28,275,29,62,0,46,128,40,0,150,66,126,266,20,301,4,0,47,29,93,0,0,0,207,0,939,36,218,95,0,197,0,156,1,12,26,46,53,17,116,142,113,45,81,0,0,144,24,0,0,0,35,31,73,307,15,288,332,123,244,376,386,380,340,281,0,0,0,0,24,146,22,127,7,442,140,142,0,65,0,37,0,60,235,142,199,314,364,360,112,224,275,453,204,237,356,18,61,7,650,1311,0,259,242,216,51,208,183,233,41,184,29,8,146,4
