,Cell_type,Cohort,Condition,Hemisphere,Image,Cell_number,Mean,Time,Cohort_mean
2,PNN-neg,#013118,WT,LH,1,2,816.7455978,12 wk,775
3,PNN-neg,#013118,WT,LH,1,3,490.7493049,12 wk,775
4,PNN-neg,#013118,WT,LH,1,4,601.9902688,12 wk,775
5,PNN-neg,#013118,WT,LH,1,5,449.2910102,12 wk,775
6,PNN-neg,#013118,WT,LH,2,1,479.0588508,12 wk,775
7,PNN-neg,#013118,WT,LH,2,2,470.3308619,12 wk,775
8,PNN-neg,#013118,WT,LH,2,3,711.2590361,12 wk,775
9,PNN-neg,#013118,WT,LH,2,4,663.1682113,12 wk,775
10,PNN-neg,#013118,WT,LH,2,5,550.9837813,12 wk,775
11,PNN-neg,#022518,WT,LH,1,1,340.010658,12 wk,859
12,PNN-neg,#022518,WT,LH,1,2,392.7618165,12 wk,859
13,PNN-neg,#022518,WT,LH,1,3,379.8104727,12 wk,859
14,PNN-neg,#022518,WT,LH,1,4,317.6190918,12 wk,859
15,PNN-neg,#022518,WT,LH,1,5,384.3322521,12 wk,859
16,PNN-neg,#022518,WT,LH,2,1,350.1733086,12 wk,859
17,PNN-neg,#022518,WT,LH,2,2,238.1427247,12 wk,859
18,PNN-neg,#022518,WT,LH,2,3,273.2238184,12 wk,859
19,PNN-neg,#022518,WT,LH,2,4,282.0139018,12 wk,859
20,PNN-neg,#022518,WT,LH,2,5,321.4814643,12 wk,859
21,PNN-neg,#021818,WT,LH,1,1,280.0778499,12 wk,1262
22,PNN-neg,#021818,WT,LH,1,2,661.3271548,12 wk,1262
23,PNN-neg,#021818,WT,LH,1,3,600.9490269,12 wk,1262
24,PNN-neg,#021818,WT,LH,1,4,597.7015755,12 wk,1262
25,PNN-neg,#021818,WT,LH,1,5,638.1779425,12 wk,1262
26,PNN-neg,#021818,WT,LH,2,1,690.536608,12 wk,1262
27,PNN-neg,#021818,WT,LH,2,2,1020.290083,12 wk,1262
28,PNN-neg,#021818,WT,LH,2,3,1091.962929,12 wk,1262
29,PNN-neg,#021818,WT,LH,2,4,1037.269694,12 wk,1262
30,PNN-neg,#013118,WT,RH,1,1,1071.690918,12 wk,775
31,PNN-neg,#013118,WT,RH,1,2,306.5347544,12 wk,775
32,PNN-neg,#013118,WT,RH,1,3,307.3906395,12 wk,775
33,PNN-neg,#013118,WT,RH,1,4,226.8725672,12 wk,775
34,PNN-neg,#013118,WT,RH,1,5,357.0384615,12 wk,775
35,PNN-neg,#013118,WT,RH,2,1,284.7970343,12 wk,775
36,PNN-neg,#013118,WT,RH,2,2,476.9110287,12 wk,775
37,PNN-neg,#013118,WT,RH,2,3,433.4402224,12 wk,775
38,PNN-neg,#013118,WT,RH,2,4,327.0639481,12 wk,775
39,PNN-neg,#013118,WT,RH,2,5,483.6895273,12 wk,775
40,PNN-neg,#022518,WT,RH,1,1,413.6686747,12 wk,859
41,PNN-neg,#022518,WT,RH,1,2,773.0551437,12 wk,859
42,PNN-neg,#022518,WT,RH,1,3,522.3063021,12 wk,859
43,PNN-neg,#022518,WT,RH,1,4,642.5315107,12 wk,859
44,PNN-neg,#022518,WT,RH,1,5,617.6751622,12 wk,859
45,PNN-neg,#022518,WT,RH,2,1,546.8276182,12 wk,859
46,PNN-neg,#022518,WT,RH,2,2,1022.223355,12 wk,859
47,PNN-neg,#022518,WT,RH,2,3,550.1723818,12 wk,859
48,PNN-neg,#022518,WT,RH,2,4,854.9457831,12 wk,859
49,PNN-neg,#022518,WT,RH,2,5,615.7924004,12 wk,859
50,PNN-neg,#021818,WT,RH,1,2,812.3702502,12 wk,1262
51,PNN-neg,#021818,WT,RH,1,3,803.8878591,12 wk,1262
52,PNN-neg,#021818,WT,RH,1,4,661.4202966,12 wk,1262
53,PNN-neg,#021818,WT,RH,1,5,760.8461538,12 wk,1262
54,PNN-neg,#021818,WT,RH,2,1,627.9986098,12 wk,1262
55,PNN-neg,#021818,WT,RH,2,2,871.1506024,12 wk,1262
56,PNN-neg,#021818,WT,RH,2,3,719.5291937,12 wk,1262
57,PNN-neg,#021818,WT,RH,2,4,654.1172382,12 wk,1262
58,PNN-neg,#021818,WT,RH,2,5,764.4179796,12 wk,1262
119,PNN-neg,#013118,Het,LH,1,1,674.0004634,12 wk,1089
120,PNN-neg,#013118,Het,LH,1,2,751.5852641,12 wk,1089
121,PNN-neg,#013118,Het,LH,1,3,781.9193698,12 wk,1089
122,PNN-neg,#013118,Het,LH,1,4,744.6278962,12 wk,1089
123,PNN-neg,#013118,Het,LH,1,5,694.2015755,12 wk,1089
124,PNN-neg,#013118,Het,LH,2,1,619.7910102,12 wk,1089
125,PNN-neg,#013118,Het,LH,2,2,1044.854495,12 wk,1089
126,PNN-neg,#013118,Het,LH,2,3,878.8461538,12 wk,1089
127,PNN-neg,#013118,Het,LH,2,4,802.4096386,12 wk,1089
128,PNN-neg,#013118,Het,LH,2,5,817.2974977,12 wk,1089
129,PNN-neg,#022518,Het,LH,1,1,867.5894347,12 wk,853
130,PNN-neg,#022518,Het,LH,1,2,445.8795181,12 wk,853
131,PNN-neg,#022518,Het,LH,1,3,425.231696,12 wk,853
132,PNN-neg,#022518,Het,LH,1,4,450.6705283,12 wk,853
133,PNN-neg,#022518,Het,LH,1,5,365.3507878,12 wk,853
134,PNN-neg,#022518,Het,LH,2,1,461.4318814,12 wk,853
135,PNN-neg,#022518,Het,LH,2,2,635.4124189,12 wk,853
136,PNN-neg,#022518,Het,LH,2,3,946.5435589,12 wk,853
137,PNN-neg,#022518,Het,LH,2,4,611.1529194,12 wk,853
138,PNN-neg,#022518,Het,LH,2,5,484.534291,12 wk,853
139,PNN-neg,#021818,Het,LH,1,1,673.8846154,12 wk,1275
140,PNN-neg,#021818,Het,LH,1,2,827.9573679,12 wk,1275
141,PNN-neg,#021818,Het,LH,1,3,909.6172382,12 wk,1275
142,PNN-neg,#021818,Het,LH,1,4,951.0069509,12 wk,1275
143,PNN-neg,#021818,Het,LH,1,5,561.9888786,12 wk,1275
144,PNN-neg,#021818,Het,LH,2,1,1288.052827,12 wk,1275
145,PNN-neg,#021818,Het,LH,2,2,316.1529194,12 wk,1275
146,PNN-neg,#021818,Het,LH,2,3,461.2534754,12 wk,1275
147,PNN-neg,#021818,Het,LH,2,4,395.3855422,12 wk,1275
148,PNN-neg,#021818,Het,LH,2,5,445.2618165,12 wk,1275
149,PNN-neg,#013118,Het,RH,1,1,455.5222428,12 wk,1089
150,PNN-neg,#013118,Het,RH,1,2,392.0908248,12 wk,1089
151,PNN-neg,#013118,Het,RH,1,3,263.2219648,12 wk,1089
152,PNN-neg,#013118,Het,RH,1,4,279.6320667,12 wk,1089
153,PNN-neg,#013118,Het,RH,1,5,289.3401297,12 wk,1089
154,PNN-neg,#013118,Het,RH,2,1,332.1047266,12 wk,1089
155,PNN-neg,#013118,Het,RH,2,2,413.9759036,12 wk,1089
156,PNN-neg,#013118,Het,RH,2,3,495.3591288,12 wk,1089
157,PNN-neg,#013118,Het,RH,2,4,531.1705283,12 wk,1089
158,PNN-neg,#013118,Het,RH,2,5,416.0037071,12 wk,1089
159,PNN-neg,#022518,Het,RH,1,1,531.1292864,12 wk,853
160,PNN-neg,#022518,Het,RH,1,2,327.8656163,12 wk,853
161,PNN-neg,#022518,Het,RH,1,3,307.5523633,12 wk,853
162,PNN-neg,#022518,Het,RH,1,4,309.5667285,12 wk,853
163,PNN-neg,#022518,Het,RH,1,5,237.2970343,12 wk,853
164,PNN-neg,#022518,Het,RH,2,1,236.4193698,12 wk,853
165,PNN-neg,#022518,Het,RH,2,2,589.9930491,12 wk,853
166,PNN-neg,#022518,Het,RH,2,3,342.5695088,12 wk,853
167,PNN-neg,#022518,Het,RH,2,4,536.1895273,12 wk,853
168,PNN-neg,#022518,Het,RH,2,5,492.4828545,12 wk,853
169,PNN-neg,#021818,Het,RH,1,1,495.1904541,12 wk,1275
170,PNN-neg,#021818,Het,RH,1,2,895.0291937,12 wk,1275
171,PNN-neg,#021818,Het,RH,1,3,805.0139018,12 wk,1275
172,PNN-neg,#021818,Het,RH,1,4,728.2974977,12 wk,1275
173,PNN-neg,#021818,Het,RH,1,5,664.2015755,12 wk,1275
174,PNN-neg,#021818,Het,RH,2,1,690.4930491,12 wk,1275
175,PNN-neg,#021818,Het,RH,2,2,1179.816497,12 wk,1275
176,PNN-neg,#021818,Het,RH,2,3,1252.082947,12 wk,1275
177,PNN-neg,#021818,Het,RH,2,4,926.8897127,12 wk,1275
178,PNN-neg,#021818,Het,RH,2,5,1023.2924,12 wk,1275
