,Cell_type,Cohort,Condition,Hemisphere,Image,Cell_number,Mean,Time,Cohort_mean
220,PNN-pos,#102319,WT,LH,1,1,2508.076923,6 wk,3563
221,PNN-pos,#102319,WT,LH,1,2,1910.76367,6 wk,3563
222,PNN-pos,#102319,WT,LH,1,3,2604.666821,6 wk,3563
223,PNN-pos,#102319,WT,LH,2,1,2402.452734,6 wk,3563
224,PNN-pos,#102319,WT,LH,2,2,1564.346154,6 wk,3563
225,PNN-pos,#102319,WT,LH,2,3,2323.425857,6 wk,3563
226,PNN-pos,#103119,WT,LH,1,1,1591.68165,6 wk,2437
227,PNN-pos,#103119,WT,LH,1,2,1493.086191,6 wk,2437
228,PNN-pos,#103119,WT,LH,1,3,2226.310936,6 wk,2437
229,PNN-pos,#103119,WT,LH,1,4,1554.685357,6 wk,2437
230,PNN-pos,#103119,WT,LH,2,1,1742.598239,6 wk,2437
231,PNN-pos,#103119,WT,LH,2,2,1595.132994,6 wk,2437
232,PNN-pos,#103119,WT,LH,2,3,1693.420297,6 wk,2437
233,PNN-pos,#103119,WT,LH,2,4,2295.627433,6 wk,2437
234,PNN-pos,#121119B,WT,LH,1,1,1604.199722,6 wk,3090
235,PNN-pos,#121119B,WT,LH,1,2,2241.095459,6 wk,3090
236,PNN-pos,#121119B,WT,LH,1,3,2550.441613,6 wk,3090
237,PNN-pos,#121119B,WT,LH,1,4,2372.115385,6 wk,3090
238,PNN-pos,#121119B,WT,LH,2,1,2347.111677,6 wk,3090
239,PNN-pos,#121119B,WT,LH,2,2,2634.921223,6 wk,3090
240,PNN-pos,#121119B,WT,LH,2,3,2637.056534,6 wk,3090
241,PNN-pos,#102319,WT,RH,1,1,2012.495829,6 wk,3563
242,PNN-pos,#102319,WT,RH,1,2,4158.532901,6 wk,3563
243,PNN-pos,#102319,WT,RH,1,3,2243.152919,6 wk,3563
244,PNN-pos,#102319,WT,RH,1,4,2006.868397,6 wk,3563
245,PNN-pos,#102319,WT,RH,1,5,1280.668211,6 wk,3563
246,PNN-pos,#102319,WT,RH,2,2,3780.842447,6 wk,3563
247,PNN-pos,#102319,WT,RH,2,3,3678.859592,6 wk,3563
248,PNN-pos,#102319,WT,RH,2,4,2711.455514,6 wk,3563
249,PNN-pos,#102319,WT,RH,2,5,3099.495829,6 wk,3563
250,PNN-pos,#103119,WT,RH,1,1,1626.610287,6 wk,2437
251,PNN-pos,#103119,WT,RH,1,2,1877.316497,6 wk,2437
252,PNN-pos,#103119,WT,RH,1,3,2585.44532,6 wk,2437
253,PNN-pos,#103119,WT,RH,1,4,1433.460612,6 wk,2437
254,PNN-pos,#103119,WT,RH,1,5,1242.060241,6 wk,2437
255,PNN-pos,#103119,WT,RH,2,1,1409.900834,6 wk,2437
256,PNN-pos,#103119,WT,RH,2,2,1436.159407,6 wk,2437
257,PNN-pos,#103119,WT,RH,2,3,1412.304912,6 wk,2437
258,PNN-pos,#103119,WT,RH,2,4,1474.656163,6 wk,2437
259,PNN-pos,#103119,WT,RH,2,5,1505.55329,6 wk,2437
260,PNN-pos,#121119B,WT,RH,1,1,2744.662651,6 wk,3090
261,PNN-pos,#121119B,WT,RH,1,2,2186.927711,6 wk,3090
262,PNN-pos,#121119B,WT,RH,1,3,1469.624652,6 wk,3090
263,PNN-pos,#121119B,WT,RH,2,1,2714.57507,6 wk,3090
264,PNN-pos,#121119B,WT,RH,2,2,1812.206209,6 wk,3090
265,PNN-pos,#121119B,WT,RH,2,3,1917.640871,6 wk,3090
314,PNN-pos,#102319,Het,LH,1,1,916.7822057,6 wk,3468
315,PNN-pos,#102319,Het,LH,2,2,2666.599629,6 wk,3468
316,PNN-pos,#102319,Het,LH,2,3,2073.54912,6 wk,3468
317,PNN-pos,#102319,Het,LH,2,4,1787.720111,6 wk,3468
318,PNN-pos,#103119,Het,LH,1,1,1329.827155,6 wk,2455
319,PNN-pos,#103119,Het,LH,1,2,2232.176089,6 wk,2455
320,PNN-pos,#103119,Het,LH,1,3,1744.795644,6 wk,2455
321,PNN-pos,#103119,Het,LH,2,1,1271.856812,6 wk,2455
322,PNN-pos,#103119,Het,LH,2,2,1457.265987,6 wk,2455
323,PNN-pos,#103119,Het,LH,2,3,1690.007414,6 wk,2455
324,PNN-pos,#103119,Het,LH,2,4,1651.034754,6 wk,2455
325,PNN-pos,#103119,Het,LH,2,5,1553.615848,6 wk,2455
326,PNN-pos,#121119B,Het,LH,1,1,1560.278499,6 wk,2793
