	Cohort	Condition	Hemisphere	Subregion	Coordinates	Map ID	Weight 1	Weight 2	Mean 1	Mean 2	Variance 1	Variance 2	CV 1	CV 2	Index	$\Delta$ Mean	$\Delta$ Weight
0	061321B	TacWT	Left	S1FL	W1_1.3	19	0.5667324937891343	0.43326750621085275	29.79666702841017	49.49040088434362	53.14949779004301	216.59454964734368	0.24467066073009025	0.29737386005526073	0	19.693733855933452	-0.1334649875782815
1	061321B	TacWT	Left	S1FL	W1_1.4	20	0.5856840698292723	0.41431593017073753	41.25821117026569	77.14258907571902	153.02783023877356	390.26044192627626	0.2998298143701792	0.256084360002888	1	35.88437790545333	-0.1713681396585348
2	061321B	TacWT	Left	S1FL	W1_1.2	21	0.6518424470735793	0.34815755292633516	33.03414299475778	69.02697219496285	126.25457270497468	519.1158360947591	0.3401421980211026	0.33007551908415594	2	35.99282920020507	-0.30368489414724414
3	061321B	TacWT	Left	S1FL	W1_2.1	22	0.6346160570165654	0.36538394298339416	40.64023414697704	76.0743146405708	159.53430036872294	395.2388019995235	0.3107927180300686	0.26133148641350645	3	35.43408049359376	-0.26923211403317127
4	061321B	TacWT	Left	S1FL	W1_2.2	23	0.6411016795840735	0.35889832041596353	38.699456774036534	56.546384766062715	95.64333332486567	173.92683950822044	0.2527100321123809	0.23322680273880023	4	17.84692799202618	-0.28220335916810996
5	061321B	TacWT	Left	S1FL	W1_1.5	24	0.7851327542170489	0.2148672457828133	31.31389118114178	65.44743534783578	91.31340362521264	352.94100156379983	0.30516184185253126	0.2870505769652404	5	34.133544166693994	-0.5702655084342356
6	061321B	TacWT	Left	S1FL	W1_2.4	24	0.49279360586595916	0.5072063941340753	31.34348527075906	63.89690400411958	64.78119297006438	352.6231396571295	0.2567894541293293	0.2938837603554334	6	32.553418733360516	0.01441278826811615
7	061321B	TacWT	Left	S1FL	W4_1.1	25	0.48156203262030095	0.5184379673798069	31.580227353845398	67.24537848080955	86.00044997256256	501.9858406639517	0.29365345133366805	0.3331833506673778	7	35.66515112696415	0.0368759347595059
8	061321B	TacWT	Left	S1FL	W1_3.1	26	0.4546009492628632	0.5453990507370693	33.59547279653129	69.88682964806824	87.36408584529417	409.16465429704294	0.2782183118254355	0.28943677834430664	8	36.29135685153695	0.09079810147420608
9	061321B	TacWT	Left	S1FL	W1_3.2	28	0.556965342125354	0.4430346578746298	43.59374708897087	77.69577568213715	138.25346776754404	260.90950477695856	0.2697204132477731	0.2078966749470387	9	34.10202859316628	-0.11393068425072417
10	061321B	TacWT	Left	S1FL	W1_3.3	30	0.6739626801663793	0.32603731983369927	34.125402145993625	68.2357993675492	132.48490514423105	440.41775408748094	0.337291519281388	0.3075531116773466	10	34.11039722155558	-0.34792536033268
