"","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_3_label"
"1","z12-z21_SW-LW10-2.1-Map128_MergedMC",1,32.435,601.406,"P","0013-0051",13.723,3.292,"WT","SW",0.666666666666667
"2","z12-z21_SW-LW10-2.1-Map128_MergedMC",2,6.544,3420.598,"P","0003-0073",19.542,0.704,"WT","SW",0.666666666666667
"3","z12-z21_SW-LW10-2.1-Map128_MergedMC",3,90.547,2335.424,"P","0021-0155",41.575,5.17,"WT","SW",0.666666666666667
"4","z12-z21_SW-LW10-2.1-Map128_MergedMC",4,4.766,298.731,"P","0003-0179",48.219,0.587,"WT","SW",0.666666666666667
"5","z12-z21_SW-LW10-2.1-Map128_MergedMC",5,24.255,424.76,"P","0008-0217",57.669,1.783,"WT","SW",0.333333333333333
"6","z12-z21_SW-LW10-2.1-Map128_MergedMC",6,42.322,207.728,"N","0020-0020",5.387,5.466,"WT","SW",1
"7","z12-z21_SW-LW10-2.1-Map128_MergedMC",7,47.301,223.592,"N","0022-0316",84.526,5.96,"WT","SW",0.333333333333333
"8","z12-z21_SW-LW10-2.1-Map128_MergedMC",8,46.874,105.194,"N","0029-0185",49.196,7.624,"WT","SW",1
"9","z12-z21_SW-LW10-2.1-Map128_MergedMC",9,115.371,688.713,"P","0042-0286",76.484,11.299,"WT","SW",0.333333333333333
"10","z12-z21_SW-LW10-2.1-Map128_MergedMC",10,52.351,239.938,"N","0039-0230",61.671,10.211,"WT","SW",0.666666666666667
"11","z12-z21_SW-LW10-2.1-Map128_MergedMC",11,43.815,182.211,"N","0040-0371",98.847,10.55,"WT","SW",0.333333333333333
"12","z12-z21_SW-LW10-2.1-Map128_MergedMC",12,52.137,185.963,"N","0045-0343",91.545,12.136,"WT","SW",0
"13","z12-z21_SW-LW10-2.1-Map128_MergedMC",13,99.367,737.315,"P","0056-0132",35.181,14.962,"WT","SW",0.666666666666667
"14","z12-z21_SW-LW10-2.1-Map128_MergedMC",14,27.1,587.181,"P","0054-0048",13.029,14.536,"WT","SW",0.666666666666667
"15","z12-z21_SW-LW10-2.1-Map128_MergedMC",15,62.096,529.682,"P","0070-0250",66.919,18.552,"WT","SW",0.333333333333333
"16","z12-z21_SW-LW10-2.1-Map128_MergedMC",16,103.208,701.294,"P","0076-0088",23.589,20.255,"WT","SW",0.333333333333333
"17","z12-z21_SW-LW10-2.1-Map128_MergedMC",17,59.535,1332.192,"P","0087-0361",96.362,23.433,"WT","SW",0.333333333333333
"18","z12-z21_SW-LW10-2.1-Map128_MergedMC",18,41.326,159.749,"N","0085-0328",87.632,22.95,"WT","SW",0.666666666666667
"19","z12-z21_SW-LW10-2.1-Map128_MergedMC",19,43.175,234.802,"N","0095-0141",37.678,25.687,"WT","SW",0.666666666666667
"20","z12-z21_SW-LW10-2.1-Map128_MergedMC",20,62.665,361.974,"N","0113-0114",30.562,30.353,"WT","SW",0.333333333333333
"21","z12-z21_SW-LW10-2.1-Map128_MergedMC",21,62.167,268.267,"N","0117-0080",21.438,31.215,"WT","SW",0.333333333333333
"22","z12-z21_SW-LW10-2.1-Map128_MergedMC",22,13.088,583.31,"P","0122-0329",87.985,32.671,"WT","SW",0
"23","z12-z21_SW-LW10-2.1-Map128_MergedMC",23,56.832,345.947,"N","0134-0229",61.187,36.012,"WT","SW",0.333333333333333
"24","z12-z21_SW-LW10-2.1-Map128_MergedMC",24,43.318,193.791,"N","0135-0365",97.193,35.853,"WT","SW",0.666666666666667
"25","z12-z21_SW-LW10-2.1-Map128_MergedMC",25,13.799,197.046,"N","0137-0006",1.432,36.607,"WT","SW",0.666666666666667
"26","z12-z21_SW-LW10-2.1-Map128_MergedMC",26,39.548,149.603,"N","0148-0324",86.676,39.411,"WT","SW",0.666666666666667
"27","z12-z21_SW-LW10-2.1-Map128_MergedMC",27,62.522,193.389,"N","0154-0198",53.132,41.419,"WT","SW",0.666666666666667
"28","z12-z21_SW-LW10-2.1-Map128_MergedMC",28,60.175,588.41,"P","0156-0378",101.401,41.571,"WT","SW",0.333333333333333
"29","z12-z21_SW-LW10-2.1-Map128_MergedMC",29,48.083,1151.21,"P","0161-0133",35.526,42.941,"WT","SW",0
"30","z12-z21_SW-LW10-2.1-Map128_MergedMC",30,50.502,208.07,"N","0168-0313",83.153,44.989,"WT","SW",0.333333333333333
"31","z12-z21_SW-LW10-2.1-Map128_MergedMC",31,101.216,1914.057,"P","0177-0353",94.29,47.428,"WT","SW",0.333333333333333
"32","z12-z21_SW-LW10-2.1-Map128_MergedMC",32,43.887,250.934,"N","0185-0249",66.561,50.032,"WT","SW",0.333333333333333
"33","z12-z21_SW-LW10-2.1-Map128_MergedMC",33,26.958,286.507,"N","0197-0313",83.705,52.622,"WT","SW",0.333333333333333
"34","z12-z21_SW-LW10-2.1-Map128_MergedMC",34,33.857,612.101,"P","0211-0185",49.57,56.436,"WT","SW",0.666666666666667
"35","z12-z21_SW-LW10-2.1-Map128_MergedMC",35,22.904,363.317,"P","0210-0201",53.546,56.184,"WT","SW",0.333333333333333
"36","z12-z21_SW-LW10-2.1-Map128_MergedMC",36,93.037,610.391,"P","0225-0038",10.161,59.979,"WT","SW",1
"37","z12-z21_SW-LW10-2.1-Map128_MergedMC",37,82.51,547.928,"P","0228-0139",37.227,60.887,"WT","SW",1
"38","z12-z21_SW-LW10-2.1-Map128_MergedMC",38,71.058,431.737,"P","0248-0367",98.194,66.167,"WT","SW",0.666666666666667
"39","z12-z21_SW-LW10-2.1-Map128_MergedMC",39,7.895,314.838,"N","0246-0395",105.533,65.653,"WT","SW",1
"40","z12-z21_SW-LW10-2.1-Map128_MergedMC",40,69.493,381.206,"P","0275-0355",94.455,73.427,"WT","SW",0.333333333333333
"41","z12-z21_SW-LW10-2.1-Map128_MergedMC",41,75.397,1936.734,"P","0279-0101",27.13,73.951,"WT","SW",0.666666666666667
"42","z12-z21_SW-LW10-2.1-Map128_MergedMC",42,32.079,273.22,"N","0275-0204",54.686,73.265,"WT","SW",1
"43","z12-z21_SW-LW10-2.1-Map128_MergedMC",43,47.158,366.202,"P","0292-0011",2.774,78.018,"WT","SW",1
"44","z12-z21_SW-LW10-2.1-Map128_MergedMC",44,69.92,379.782,"P","0312-0263",70.62,83.542,"WT","SW",0.666666666666667
"45","z12-z21_SW-LW10-2.1-Map128_MergedMC",45,61.242,565.282,"P","0316-0140",38.007,83.308,"WT","SW",0.666666666666667
"46","z12-z21_SW-LW10-2.1-Map128_MergedMC",46,79.735,497.338,"P","0332-0302",80.681,88.634,"WT","SW",0.666666666666667
"47","z12-z21_SW-LW10-2.1-Map128_MergedMC",47,66.577,489.725,"P","0339-0070",19.153,90.431,"WT","SW",0.666666666666667
"48","z12-z21_SW-LW10-2.1-Map128_MergedMC",48,36.347,214.145,"N","0336-0358",95.587,89.648,"WT","SW",0.666666666666667
"49","z12-z21_SW-LW10-2.1-Map128_MergedMC",49,47.514,345.171,"P","0348-0011",2.731,92.881,"WT","SW",1
"50","z12-z21_SW-LW10-2.1-Map128_MergedMC",50,89.48,443.754,"P","0351-0191",51.187,93.541,"WT","SW",0.333333333333333
"51","z12-z21_SW-LW10-2.1-Map128_MergedMC",51,47.158,333.804,"P","0352-0384",102.131,93.844,"WT","SW",0
"52","z12-z21_SW-LW10-2.1-Map128_MergedMC",52,72.836,410.025,"P","0369-0269",71.804,98.456,"WT","SW",1
"53","z12-z21_SW-LW10-2.1-Map128_MergedMC",53,33.075,160.581,"N","0365-0360",96.075,97.474,"WT","SW",0.333333333333333
"54","z12-z21_SW-LW10-2.1-Map128_MergedMC",54,59.322,508.5,"P","0383-0093",24.949,102.089,"WT","SW",0.666666666666667
"55","z12-z21_SW-LW10-2.1-Map128_MergedMC",55,27.954,120.041,"N","0390-0347",93.102,104.403,"WT","SW",0.333333333333333
"56","z12-z21_SW-LW10-2.1-Map128_MergedMC",56,12.448,117.343,"N","0393-0370",99.079,104.956,"WT","SW",0.333333333333333
"57","z12-z21_SW-LW10-2.1-Map128_MergedMC",57,35.707,332.307,"N","0328-0130",34.436,87.806,"WT","SW",1
"58","z12-z21_SW-LW10-2.1-Map128_MergedMC",58,57.543,382.75,"P","0301-0061",16.111,80.362,"WT","SW",1
"59","z12-z21_SW-LW10-2.1-Map128_MergedMC",59,18.707,366.627,"P","0096-0394",105.359,25.458,"WT","SW",0.333333333333333
