"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,253
"2","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,248
"3","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,249
"4","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,225
"5","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,238
"6","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,238
"7","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,480
"8","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,3740
"9","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,8107
"10","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,8934
"11","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,6381
"12","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,4300
"13","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,3735
"14","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,3761
"15","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,3636
"16","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,3440
"17","111722","NH","LH","MOs","0.61","LD","W2-1.1","(+)5.500","(+)2.500",1067.23886639676,"X",247,1,1,3370
