"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,263
"2","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,1692
"3","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,7989
"4","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,14603
"5","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,8538
"6","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,5552
"7","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,8053
"8","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,12532
"9","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,15809
"10","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,15088
"11","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,11593
"12","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,9958
"13","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,9582
"14","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,8829
"15","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,8062
"16","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,7728
"17","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,7097
"18","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,6968
"19","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,6792
"20","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,6385
"21","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,5932
"22","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,5695
"23","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,5300
"24","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,5013
"25","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,4816
"26","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,4601
"27","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,4121
"28","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,3721
"29","111722","SH P0-P5","LH","SSp-bfd","0.652","RS","W2-2.2","(+)2.500","(-)2.500",1144.14979757085,"X",247,1,1,3555
