"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,6
"2","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,15
"3","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,20
"4","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,17
"5","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,28
"6","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,23
"7","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,30
"8","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,37
"9","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,38
"10","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,31
"11","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,28
"12","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,39
"13","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,29
"14","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,39
"15","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,84
"16","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,691
"17","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,1920
"18","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,3504
"19","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,3691
"20","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,2802
"21","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,2449
"22","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,2433
"23","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,2699
"24","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,3409
"25","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,4189
"26","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,4163
"27","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,2882
"28","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,1859
"29","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,1208
"30","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,935
"31","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,757
"32","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,643
"33","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,558
"34","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,582
"35","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,726
"36","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,889
"37","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,874
"38","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,1020
"39","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,1049
"40","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,1068
"41","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,984
"42","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,931
"43","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,780
"44","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,572
"45","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,436
"46","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,411
"47","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,285
"48","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,274
"49","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,287
"50","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,307
"51","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,299
"52","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,226
"53","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,220
"54","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,166
"55","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,200
"56","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,179
"57","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,235
"58","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,204
"59","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,172
"60","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,111
"61","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,56
"62","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,25
"63","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,9
"64","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,4
"65","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"66","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"67","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"68","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"69","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"70","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"71","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"72","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"73","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"74","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"75","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"76","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"77","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"78","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"79","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"80","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
"81","111722","SH P0-P5","LH","TEa","0.126","RS","W2-3.1","(+)2.500","(-)2.500",222.012145748988,"X",247,1,1,0
