"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,0
"2","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,0
"3","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,0
"4","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,0
"5","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,0
"6","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,0
"7","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,5
"8","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,111
"9","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,261
"10","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,585
"11","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,853
"12","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,2265
"13","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,3814
"14","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,3635
"15","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,2824
"16","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,2405
"17","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,2116
"18","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1733
"19","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1682
"20","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1752
"21","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1701
"22","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1468
"23","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1426
"24","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1467
"25","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1376
"26","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1403
"27","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1275
"28","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1183
"29","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1026
"30","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1078
"31","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,997
"32","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1048
"33","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1032
"34","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,990
"35","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1026
"36","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,991
"37","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,914
"38","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,989
"39","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,984
"40","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1138
"41","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,984
"42","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,1012
"43","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,968
"44","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,910
"45","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,888
"46","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,845
"47","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,797
"48","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,697
"49","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,603
"50","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,564
"51","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,547
"52","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,512
"53","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,466
"54","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,429
"55","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,443
"56","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,397
"57","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,355
"58","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,316
"59","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,317
"60","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,304
"61","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,298
"62","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,276
"63","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,256
"64","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,245
"65","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,261
"66","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,217
"67","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,211
"68","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,182
"69","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,180
"70","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,138
"71","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,134
"72","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,112
"73","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,132
"74","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,120
"75","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,108
"76","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,104
"77","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,106
"78","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,87
"79","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,91
"80","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,61
"81","111722","NW","LH","ACAv","0.148","LD","W1-2.2","(+)2.500","(+)3.500",260.748987854251,"X",247,1,1,68
