"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,0
"2","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,0
"3","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,0
"4","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,0
"5","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,0
"6","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,0
"7","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,0
"8","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,0
"9","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,1
"10","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,65
"11","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,344
"12","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,941
"13","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,1647
"14","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,2879
"15","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,4924
"16","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,5417
"17","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,4537
"18","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,3860
"19","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,3478
"20","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,3504
"21","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,3420
"22","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,3177
"23","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,3080
"24","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,3132
"25","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,3049
"26","111722","NW","RH","ACAd","0.167","LD","W1-1.3","(+)2.500","(+)3.500",293.412955465587,"X",247,1,1,2642
