"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,0
"2","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,8
"3","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,46
"4","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,667
"5","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,6369
"6","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,11347
"7","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,10136
"8","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,7232
"9","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,6768
"10","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,9933
"11","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,15656
"12","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,15349
"13","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,14221
"14","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,12935
"15","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,12288
"16","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,11725
"17","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,11859
"18","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,12212
"19","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,11819
"20","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,11015
"21","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,9849
"22","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,8494
"23","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,6763
"24","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,5435
"25","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,4497
"26","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,3950
"27","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,3422
"28","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,3039
"29","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,2847
"30","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,2516
"31","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,2082
"32","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,1856
"33","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,1550
"34","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,1444
"35","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,1224
"36","111722","NW","RH","MOp","0.581","LD","W3-1.2","(+)2.500","(+)3.500",1021.5020242915,"X",247,1,1,1147
