"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,0
"2","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,0
"3","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,0
"4","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,0
"5","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,0
"6","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,0
"7","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,95
"8","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,427
"9","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,1065
"10","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2332
"11","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,4121
"12","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,5055
"13","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,5198
"14","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,4385
"15","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,3350
"16","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2557
"17","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2208
"18","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2227
"19","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2084
"20","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2196
"21","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2217
"22","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2354
"23","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2268
"24","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2289
"25","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2403
"26","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2412
"27","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2416
"28","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2368
"29","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2435
"30","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2478
"31","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2716
"32","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2648
"33","111722","SW P0-P1","LH","RSPv","0.336","LD","W1-3.3","(+)4.000","(-)1.500",590.574898785426,"X",247,1,1,2650
