"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,127
"2","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,121
"3","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,163
"4","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,335
"5","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,1445
"6","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,5986
"7","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,8759
"8","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,5723
"9","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,6283
"10","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,9802
"11","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,13074
"12","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,15510
"13","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,13982
"14","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,11004
"15","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,9227
"16","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,8439
"17","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,7421
"18","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,6830
"19","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,5775
"20","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,5120
"21","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,4849
"22","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,4245
"23","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,3258
"24","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,2691
"25","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,2419
"26","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,2219
"27","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,1858
"28","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,1526
"29","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,1398
"30","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,1223
"31","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,1131
"32","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,1012
"33","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,908
"34","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,728
"35","111722","NW","LH","VIS","0.399","LD","W3-3.1","(+)2.500","(+)3.500",700.141700404858,"X",247,1,1,775
