"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,72
"2","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,92
"3","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,90
"4","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,87
"5","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,363
"6","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,2328
"7","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,3162
"8","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,2289
"9","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,2725
"10","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,3609
"11","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,4759
"12","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,5324
"13","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,5648
"14","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,4691
"15","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",409.251012145749,"X",247,1,1,3900
