"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,24
"2","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,36
"3","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,43
"4","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,46
"5","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,52
"6","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,86
"7","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,89
"8","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,97
"9","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,100
"10","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,108
"11","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,103
"12","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,118
"13","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,126
"14","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,134
"15","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,142
"16","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,163
"17","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,186
"18","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,178
"19","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,204
"20","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,189
"21","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,221
"22","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,239
"23","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,251
"24","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,261
"25","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,331
"26","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,394
"27","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,449
"28","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,519
"29","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,571
"30","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,592
"31","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,678
"32","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,750
"33","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,912
"34","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,1315
"35","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,2153
"36","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,2748
"37","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,2809
"38","111722","SH P0-P5","LH","SSp-n","0.124","RS","W2-1.3","(+)2.500","(-)2.500",218.437246963563,"X",247,1,1,3143
