"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3565
"2","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,8382
"3","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,6895
"4","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,5467
"5","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,4400
"6","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,4302
"7","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,5686
"8","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,8033
"9","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,8819
"10","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,7724
"11","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,6023
"12","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,5550
"13","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,4704
"14","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,4038
"15","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3912
"16","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,4124
"17","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3996
"18","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3958
"19","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,4023
"20","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,4013
"21","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3899
"22","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3733
"23","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3775
"24","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3566
"25","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3512
"26","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3338
"27","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3201
"28","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3136
"29","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,3082
"30","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,2859
"31","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,2714
"32","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,2629
"33","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,2373
"34","111722","NW","LH","SSs","0.465","LD","W3-1.3","(+)2.500","(+)3.500",814.417004048584,"X",247,1,1,2335
