"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"2","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"3","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"4","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"5","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"6","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"7","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"8","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"9","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"10","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"11","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,0
"12","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,16
"13","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,55
"14","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,116
"15","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,378
"16","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,632
"17","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,1244
"18","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,1550
"19","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,2014
"20","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,2527
"21","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,2833
"22","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,2927
"23","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,3264
"24","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,3920
"25","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,4483
"26","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,5232
"27","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,5720
"28","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,5895
"29","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,6025
"30","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,6377
"31","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,6385
"32","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,6004
"33","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,5010
"34","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,4553
"35","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,4263
"36","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,4029
"37","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,3944
"38","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,4067
"39","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,4159
"40","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,4082
"41","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,4090
"42","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,4059
"43","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,3677
"44","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,3185
"45","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,2750
"46","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,2544
"47","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,2182
"48","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,1992
"49","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,1771
"50","111722","SH P0-P1","RH","AUD","0.358","JM","W1-3.2","(-)6.000","(-)3.000",630.105263157895,"X",247,1,1,1660
