"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,0
"2","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,0
"3","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,0
"4","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,0
"5","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,0
"6","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,29
"7","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,44
"8","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,32
"9","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,41
"10","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,29
"11","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,42
"12","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,26
"13","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,39
"14","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,114
"15","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,1459
"16","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,6867
"17","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,12607
"18","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,11424
"19","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,9173
"20","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,8733
"21","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,8720
"22","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,7894
"23","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,6705
"24","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,6165
"25","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,5988
"26","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,5957
"27","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,5738
"28","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,5647
"29","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,5182
"30","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,4534
"31","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,4043
"32","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,3628
"33","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,3444
"34","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,3208
"35","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,2951
"36","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,2612
"37","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,2149
"38","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,1832
"39","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,1662
"40","111722","SH P0-P1","RH","MOp","0.351","JM","W2-2.1","(-)6.000","(-)3.000",595.86328125,"X",256,1,1,1452
