"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,0
"2","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,0
"3","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,0
"4","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,0
"5","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,10
"6","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,89
"7","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,260
"8","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,383
"9","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,550
"10","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,740
"11","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,968
"12","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,1161
"13","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,2055
"14","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,5561
"15","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,5770
"16","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,7137
"17","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,10189
"18","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,13322
"19","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,11496
"20","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,8794
"21","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,6598
"22","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,5202
"23","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,4607
"24","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,4175
"25","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,3549
"26","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,3017
"27","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,2615
"28","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,2301
"29","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,2275
"30","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,2323
"31","111722","SH P0-P1","LH","SSs","0.533","JM","W2-1.3","(-)6.000","(-)3.000",904.296875,"X",256,1,1,2446
