"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,0
"2","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,0
"3","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,0
"4","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,488
"5","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,761
"6","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,165
"7","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,128
"8","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,144
"9","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,168
"10","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,143
"11","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,152
"12","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,189
"13","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,226
"14","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,294
"15","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,625
"16","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,1918
"17","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,5933
"18","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,11214
"19","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,14677
"20","111722","NW","RH","VIS","0.909","LD","W2-3.2","(+)2.500","(+)3.500",1542.4375,"X",256,1,1,14210
