"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,0
"2","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,0
"3","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,14
"4","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,90
"5","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,83
"6","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,64
"7","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,54
"8","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,55
"9","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,64
"10","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,100
"11","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,224
"12","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,467
"13","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,834
"14","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,1125
"15","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,1814
"16","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,2925
"17","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,3699
"18","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,5302
"19","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,7065
"20","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,9394
"21","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,10797
"22","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,9420
"23","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,8058
"24","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,7036
"25","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,6503
"26","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,5894
"27","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,5429
"28","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,5018
"29","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4926
"30","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4627
"31","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4654
"32","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4495
"33","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4431
"34","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4322
"35","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4511
"36","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4423
"37","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4556
"38","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4595
"39","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4622
"40","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4529
"41","111722","SW P0-P1","RH","SSp-m","0.659","LD","W3-1.2","(+)4.000","(-)1.500",1117.93359375,"X",256,1,1,4281
