"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"2","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"3","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"4","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"5","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"6","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"7","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"8","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"9","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"10","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"11","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"12","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"13","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"14","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"15","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,0
"16","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,1
"17","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,68
"18","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,430
"19","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,831
"20","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,1401
"21","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,2789
"22","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,3586
"23","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,2949
"24","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,2611
"25","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,1988
"26","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,1669
"27","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,1390
"28","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,1204
"29","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,1012
"30","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,943
"31","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,885
"32","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,935
"33","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,985
"34","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,937
"35","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,944
"36","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,913
"37","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,920
"38","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,852
"39","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,893
"40","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,940
"41","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,966
"42","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,961
"43","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,954
"44","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,980
"45","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,890
"46","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,907
"47","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,874
"48","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,866
"49","111722","SW P0-P1","LH","ACAv","0.142","LD","W2-2.2","(+)4.000","(-)1.500",240.63671875,"X",256,1,1,812
