"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,0
"2","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,0
"3","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,0
"4","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,0
"5","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,0
"6","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,0
"7","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,0
"8","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,0
"9","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,2
"10","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,334
"11","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,3578
"12","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,14351
"13","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,16960
"14","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,15902
"15","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,18613
"16","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,17983
"17","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,14648
"18","111722","SW P0-P1","RH","SSp-bfd","0.759","LD","W3-2.3","(+)4.000","(-)1.500",1288.0703125,"X",256,1,1,10511
