"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,0
"2","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,0
"3","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,15
"4","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,94
"5","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,126
"6","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,186
"7","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,243
"8","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,347
"9","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,441
"10","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,462
"11","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,432
"12","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,452
"13","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,454
"14","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,444
"15","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,651
"16","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,1523
"17","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,3245
"18","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,4666
"19","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,5525
"20","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,6683
"21","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,7381
"22","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,7291
"23","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,6944
"24","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,6543
"25","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,5579
"26","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,4369
"27","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,3414
"28","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,2714
"29","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,2224
"30","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,1508
"31","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,1068
"32","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,843
"33","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,676
"34","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,466
"35","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,428
"36","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,359
"37","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,329
"38","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,318
"39","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,255
"40","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,170
"41","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,156
"42","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,127
"43","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,103
"44","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,101
"45","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,67
"46","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,74
"47","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,69
"48","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,48
"49","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,46
"50","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,48
"51","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,46
"52","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,32
"53","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,34
"54","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,30
"55","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,22
"56","111722","SH P0-P1","LH","VISa","0.184","JM","W2-2.2","(-)6.000","(-)3.000",312.90625,"X",256,1,1,26
