"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,0
"2","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,0
"3","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,0
"4","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,0
"5","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,0
"6","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,0
"7","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,0
"8","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,0
"9","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,1
"10","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,489
"11","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,3364
"12","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,4936
"13","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,3602
"14","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,2257
"15","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,1506
"16","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,1405
"17","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,1220
"18","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,1067
"19","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,844
"20","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,709
"21","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,678
"22","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,668
"23","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,649
"24","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,581
"25","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,468
"26","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,481
"27","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,470
"28","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,373
"29","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,342
"30","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,305
"31","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,286
"32","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,249
"33","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,268
"34","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,305
"35","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,331
"36","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,377
"37","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,370
"38","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,383
"39","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,357
"40","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,379
"41","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,544
"42","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,531
"43","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,441
"44","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,423
"45","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,428
"46","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,429
"47","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,417
"48","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,402
"49","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,421
"50","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,423
"51","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,451
"52","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,414
"53","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,436
"54","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,487
"55","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,450
"56","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,470
"57","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,441
"58","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,467
"59","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,478
"60","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,523
"61","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,514
"62","111722","NH","LH","SSp-n","0.133","LD","W1-2.2","(+)5.500","(+)2.500",225.4375,"X",256,1,1,572
