"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,0
"2","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,0
"3","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,0
"4","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,2
"5","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,31
"6","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,44
"7","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,51
"8","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,46
"9","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,47
"10","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,45
"11","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,63
"12","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,67
"13","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,75
"14","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,70
"15","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,69
"16","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,60
"17","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,71
"18","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,66
"19","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,269
"20","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,2443
"21","111722","SW P0-P1","RH","TEa","0.449","LD","W3-3.2","(+)4.000","(-)1.500",762.8203125,"X",256,1,1,8796
