"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,0
"2","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,0
"3","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,0
"4","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,0
"5","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,5
"6","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,40
"7","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,57
"8","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,52
"9","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,58
"10","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,67
"11","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,91
"12","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,421
"13","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,2330
"14","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,6767
"15","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,11513
"16","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,10826
"17","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,9353
"18","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,8216
"19","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,7523
"20","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,7259
"21","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,7579
"22","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,7433
"23","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,6974
"24","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,6565
"25","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,6155
"26","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,5256
"27","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,4533
"28","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,4122
"29","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,3635
"30","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,3177
"31","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,2926
"32","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,2676
"33","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,2365
"34","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,2132
"35","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,2002
"36","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,1797
"37","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,1610
"38","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,1543
"39","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,1373
"40","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,1291
"41","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,1252
"42","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,1155
"43","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,1073
"44","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,1049
"45","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,868
"46","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,822
"47","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,721
"48","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,703
"49","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,613
"50","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,574
"51","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,489
"52","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,455
"53","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,399
"54","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,376
"55","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,371
"56","111722","SH P0-P1","RH","SSp-tr","0.358","JM","W2-2.2","(-)6.000","(-)3.000",607.10546875,"X",256,1,1,333
