"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,0
"2","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,0
"3","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,6
"4","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,117
"5","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,105
"6","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,85
"7","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,80
"8","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,77
"9","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,72
"10","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,72
"11","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,92
"12","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,90
"13","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,87
"14","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,363
"15","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2328
"16","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,3162
"17","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2289
"18","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2725
"19","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,3609
"20","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,4759
"21","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,5324
"22","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,5648
"23","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,4691
"24","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,3900
"25","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,3040
"26","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2838
"27","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2887
"28","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,3253
"29","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,3354
"30","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,3555
"31","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,3037
"32","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2669
"33","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2337
"34","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2269
"35","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2090
"36","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2059
"37","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,2080
"38","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,1925
"39","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,1782
"40","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,1692
"41","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,1643
"42","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,1486
"43","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,1365
"44","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,1206
"45","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,1178
"46","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,1073
"47","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,994
"48","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,868
"49","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,923
"50","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,827
"51","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,739
"52","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,665
"53","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,616
"54","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,577
"55","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,577
"56","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,487
"57","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,458
"58","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,419
"59","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,366
"60","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,380
"61","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,335
"62","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,296
"63","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,231
"64","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,250
"65","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,203
"66","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,186
"67","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,174
"68","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,188
"69","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,162
"70","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,139
"71","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,144
"72","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,118
"73","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,145
"74","111722","NW","LH","VISrl","0.234","LD","W3-3.1","(+)2.500","(+)3.500",396.98046875,"X",256,1,1,80
