"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,0
"2","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,0
"3","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,35
"4","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,838
"5","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,307
"6","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,304
"7","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,304
"8","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,276
"9","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,264
"10","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,263
"11","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,247
"12","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,266
"13","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,290
"14","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,280
"15","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,267
"16","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,235
"17","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,261
"18","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,798
"19","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1505
"20","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1537
"21","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1538
"22","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1481
"23","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,2037
"24","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,2287
"25","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,2372
"26","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,2949
"27","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,2876
"28","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,2312
"29","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1890
"30","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1749
"31","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1291
"32","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1134
"33","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1007
"34","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1089
"35","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1190
"36","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1239
"37","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1268
"38","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1370
"39","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1430
"40","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1389
"41","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1279
"42","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1287
"43","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1266
"44","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1265
"45","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1245
"46","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1319
"47","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1294
"48","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1236
"49","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1249
"50","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1200
"51","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1160
"52","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1141
"53","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1110
"54","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1073
"55","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,1010
"56","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,950
"57","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,935
"58","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,862
"59","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,866
"60","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,804
"61","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,785
"62","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,750
"63","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,672
"64","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,673
"65","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,588
"66","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,536
"67","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,554
"68","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,475
"69","111722","SW P0-P1","RH","RSPd","0.18","LD","W2-2.4","(+)4.000","(-)1.500",304.9765625,"X",256,1,1,465
