"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,0
"2","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,0
"3","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,101
"4","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,238
"5","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,128
"6","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,110
"7","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,81
"8","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,56
"9","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,56
"10","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,59
"11","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,46
"12","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,48
"13","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,65
"14","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,48
"15","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,68
"16","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,74
"17","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,77
"18","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,395
"19","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,1920
"20","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,7658
"21","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,10300
"22","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,6455
"23","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,4855
"24","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,3969
"25","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,4071
"26","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,5003
"27","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,4772
"28","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,3871
"29","111722","NH","RH","GU","0.221","LD","W2-1.1","(+)5.500","(+)2.500",374.828125,"X",256,1,1,2766
