"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,0
"2","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,0
"3","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,0
"4","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,0
"5","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,8
"6","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,36
"7","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,82
"8","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,110
"9","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,194
"10","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,413
"11","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,909
"12","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,2643
"13","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,5325
"14","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,8950
"15","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,9900
"16","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,8693
"17","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,7617
"18","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,6171
"19","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,4893
"20","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,4157
"21","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,4120
"22","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,3802
"23","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,3364
"24","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,3027
"25","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,3183
"26","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,3723
"27","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,3994
"28","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,4422
"29","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,4572
"30","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,4648
"31","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,4430
"32","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,4201
"33","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,3857
"34","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,3536
"35","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,3259
"36","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,2801
"37","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,2618
"38","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,2217
"39","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,2024
"40","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,1862
"41","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,1630
"42","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,1454
"43","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,1364
"44","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,1255
"45","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,1173
"46","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,1130
"47","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,1106
"48","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,1072
"49","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,985
"50","111722","NW","RH","SSp-tr","0.357","LD","W3-2.3","(+)2.500","(+)3.500",413.508373663098,895.317774273076,"E",247,1,2,935
