"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"2","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"3","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"4","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,268
"5","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1629
"6","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2664
"7","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1763
"8","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,642
"9","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,400
"10","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,254
"11","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,146
"12","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,126
"13","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,145
"14","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,152
"15","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,129
"16","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,142
"17","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,108
"18","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,112
"19","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,120
"20","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,100
"21","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,79
"22","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,78
"23","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,100
"24","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,113
"25","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,119
"26","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,99
"27","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,87
"28","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,73
"29","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,69
"30","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,76
"31","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,103
"32","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,61
"33","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,65
"34","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,42
"35","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,43
"36","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,35
"37","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,43
"38","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,39
"39","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,25
"40","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,27
"41","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,26
"42","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,16
"43","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,16
"44","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,15
"45","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,11
"46","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,13
"47","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,20
"48","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,9
"49","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,17
"50","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,11
"51","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,11
"52","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,10
"53","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"54","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,11
"55","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,6
"56","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,10
"57","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,14
"58","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,7
"59","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,7
"60","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,6
"61","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,8
"62","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,11
"63","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,7
"64","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,3
"65","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,7
"66","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,9
"67","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"68","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,7
"69","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,5
"70","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,8
"71","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"72","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,5
"73","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"74","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"75","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"76","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"77","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"78","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"79","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,3
"80","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"81","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"82","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"83","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,3
"84","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"85","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"86","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,6
"87","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"88","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"89","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"90","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"91","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"92","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"93","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,3
"94","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,5
"95","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"96","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"97","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"98","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"99","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"100","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,3
"101","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"102","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"103","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"104","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"105","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"106","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"107","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"108","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"109","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"110","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,4
"111","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"112","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"113","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"114","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"115","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"116","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"117","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"118","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"119","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"120","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"121","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"122","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"123","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"124","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"125","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"126","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"127","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,1
"128","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
"129","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,2
"130","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,3
"131","111722","SH P0-P5","RH","SSp-un","0.025","RS","W2-1.4","(+)2.500","(-)2.500",22.9964863036819,90.2262432679122,"E",247,1,2,0
