"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,0
"2","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,0
"3","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,0
"4","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,0
"5","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,4
"6","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,189
"7","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,1136
"8","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,1462
"9","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,948
"10","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,789
"11","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,718
"12","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,652
"13","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,816
"14","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,886
"15","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,990
"16","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,1121
"17","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,1159
"18","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,891
"19","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,859
"20","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,809
"21","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,843
"22","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,868
"23","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,938
"24","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,1046
"25","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,1072
"26","111722","SH P0-P1","RH","RSPd","0.096","JM","W3-2.1","(-)6.000","(-)3.000",31.565992395949,858.125349453646,"E",247,1,2,898
