"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,0
"2","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,0
"3","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,4
"4","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,50
"5","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,262
"6","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,487
"7","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,889
"8","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1219
"9","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1955
"10","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,2337
"11","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1656
"12","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1429
"13","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1307
"14","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1123
"15","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,962
"16","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,947
"17","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,880
"18","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,818
"19","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,878
"20","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,850
"21","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,737
"22","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,710
"23","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,748
"24","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,766
"25","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,769
"26","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,790
"27","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,792
"28","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,859
"29","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,854
"30","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,989
"31","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,980
"32","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1056
"33","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1160
"34","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1140
"35","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1194
"36","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1251
"37","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1300
"38","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1291
"39","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1187
"40","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1153
"41","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1070
"42","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,1024
"43","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,895
"44","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,804
"45","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,776
"46","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,677
"47","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,674
"48","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,601
"49","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,580
"50","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,541
"51","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,502
"52","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,463
"53","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,411
"54","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,399
"55","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,371
"56","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,353
"57","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,332
"58","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,296
"59","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,305
"60","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,255
"61","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,264
"62","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,232
"63","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,208
"64","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,209
"65","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,156
"66","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,154
"67","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,149
"68","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,146
"69","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,123
"70","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,96
"71","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,104
"72","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,103
"73","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,103
"74","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,103
"75","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,74
"76","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,79
"77","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,77
"78","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,65
"79","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,68
"80","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,66
"81","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,65
"82","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,60
"83","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,55
"84","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,48
"85","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,36
"86","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,42
"87","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,46
"88","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,36
"89","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,27
"90","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,28
"91","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,28
"92","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,18
"93","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,31
"94","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,25
"95","111722","SH P0-P1","LH","ACAd","0.122","JM","W3-1.3","(-)6.000","(-)3.000",44.9710637235818,1032.11376334152,"E",247,1,2,25
