"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,0
"2","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,0
"3","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,0
"4","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,0
"5","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,0
"6","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,0
"7","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,35
"8","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,464
"9","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,761
"10","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1389
"11","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,3045
"12","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,3550
"13","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,2411
"14","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,2109
"15","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,2092
"16","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1577
"17","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1290
"18","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1297
"19","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1195
"20","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1095
"21","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1017
"22","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1114
"23","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1032
"24","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,979
"25","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,1072
"26","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,955
"27","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,821
"28","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,693
"29","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,663
"30","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,627
"31","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,705
"32","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,618
"33","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,531
"34","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,477
"35","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,483
"36","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,467
"37","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,444
"38","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,430
"39","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,429
"40","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,408
"41","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,377
"42","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,363
"43","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,339
"44","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,267
"45","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,260
"46","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,293
"47","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,267
"48","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,243
"49","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,204
"50","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,208
"51","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,216
"52","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,224
"53","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,181
"54","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,174
"55","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,151
"56","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,129
"57","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,121
"58","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,131
"59","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,124
"60","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,124
"61","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,119
"62","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,100
"63","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,106
"64","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,65
"65","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,102
"66","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,95
"67","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,80
"68","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,87
"69","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,59
"70","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,64
"71","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,61
"72","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,39
"73","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,40
"74","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,39
"75","111722","SH P0-P5","LH","ACAv","0.097","RS","W3-2.1","(+)2.500","(-)2.500",72.0832831014185,1677.0538939702,"E",247,1,2,37
