"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,12
"2","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,17
"3","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,18
"4","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,18
"5","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,20
"6","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,23
"7","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,206
"8","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,1040
"9","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,2507
"10","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,3117
"11","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,4509
"12","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,4055
"13","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,3026
"14","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,3041
"15","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,3179
"16","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,2929
"17","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,2969
"18","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,2579
"19","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,2438
"20","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,2354
"21","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,2010
"22","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,1815
"23","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,1359
"24","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,1190
"25","111722","SH P0-P5","RH","SSp-ul","0.124","RS","W3-2.2","(+)2.500","(-)2.500",140.795862585695,297.707670543962,"E",247,1,2,966
