"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,1
"2","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,4
"3","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,21
"4","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,33
"5","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,35
"6","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,45
"7","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,71
"8","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,99
"9","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,140
"10","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,616
"11","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,3034
"12","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,6298
"13","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,6504
"14","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,6213
"15","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,5869
"16","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,4744
"17","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,4314
"18","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,4243
"19","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,3979
"20","111722","SH P0-P5","RH","SSs","0.298","RS","W1-3.1","(+)2.500","(-)2.500",340.850888565421,774.214953539568,"E",247,1,2,3829
