"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,64
"2","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,80
"3","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,95
"4","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,77
"5","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,98
"6","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,100
"7","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,106
"8","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,132
"9","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,494
"10","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,1201
"11","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,1323
"12","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,1763
"13","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,1900
"14","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,2666
"15","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,2758
"16","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,2473
"17","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,2808
"18","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,4462
"19","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,7505
"20","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,10264
"21","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,9653
"22","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,7168
"23","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,5974
"24","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,6250
"25","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,6409
"26","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,6187
"27","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,5375
"28","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,4895
"29","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,4439
"30","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,4171
"31","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,3786
"32","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,3301
"33","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,2861
"34","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,2366
"35","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,2031
"36","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,1731
"37","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,1457
"38","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,1240
"39","111722","NW","RH","MOs","0.303","LD","W1-1.3","(+)2.500","(+)3.500",188.019692896285,6128.71992104824,"E",247,1,2,1144
