"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,0
"2","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,0
"3","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,0
"4","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1
"5","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3
"6","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2
"7","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,4
"8","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,7
"9","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,6
"10","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,11
"11","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,75
"12","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,608
"13","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1012
"14","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1709
"15","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1658
"16","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2319
"17","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2565
"18","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2474
"19","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2156
"20","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1630
"21","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1251
"22","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1078
"23","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,924
"24","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,974
"25","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1556
"26","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2339
"27","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2949
"28","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3168
"29","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3115
"30","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3299
"31","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3729
"32","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3844
"33","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,4026
"34","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3946
"35","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3692
"36","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3644
"37","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3385
"38","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,3152
"39","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2834
"40","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2662
"41","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2360
"42","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,2122
"43","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1792
"44","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1471
"45","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1428
"46","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1311
"47","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1215
"48","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1126
"49","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,1106
"50","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,976
"51","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,921
"52","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,913
"53","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,907
"54","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,828
"55","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,754
"56","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,714
"57","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,660
"58","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,657
"59","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,624
"60","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,561
"61","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,492
"62","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,493
"63","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,476
"64","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,451
"65","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,430
"66","111722","SW P0-P5","LH","VISrl","0.236","LD","W3-3.1","(+)8.500","(-)1.000",149.346553602307,2857.15904322024,"E",247,1,2,416
