"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,213
"2","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,249
"3","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,357
"4","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,1455
"5","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,6629
"6","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,10898
"7","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,8273
"8","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,5694
"9","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,6241
"10","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,8005
"11","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,10832
"12","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,12424
"13","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,11697
"14","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,11190
"15","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,10364
"16","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,8975
"17","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,8164
"18","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,7723
"19","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,7319
"20","111722","SW P0-P5","LH","SSp-bfd","0.609","LD","W1-2.4","(+)8.500","(-)1.000",645.052375423414,1641.29477378931,"E",247,1,2,6698
