"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,0
"2","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,0
"3","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,0
"4","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,0
"5","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,0
"6","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,0
"7","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,4
"8","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,94
"9","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,649
"10","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1407
"11","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,3441
"12","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,5217
"13","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,5025
"14","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,5096
"15","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,3853
"16","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,3173
"17","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,2614
"18","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,2180
"19","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1748
"20","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1492
"21","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1338
"22","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1419
"23","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1406
"24","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1505
"25","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1583
"26","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1623
"27","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1550
"28","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1613
"29","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1550
"30","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1558
"31","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1622
"32","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1648
"33","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1699
"34","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1529
"35","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1664
"36","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1663
"37","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1708
"38","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1706
"39","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1769
"40","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1804
"41","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1723
"42","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1671
"43","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1628
"44","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1656
"45","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1636
"46","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1675
"47","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1704
"48","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1744
"49","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1626
"50","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1688
"51","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1502
"52","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1544
"53","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1384
"54","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1439
"55","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1401
"56","111722","SW P0-P1","RH","RSPv","0.295","LD","W3-2.4","(+)4.000","(-)1.500",421.453662031968,4209.09963237098,"E",247,1,2,1253
