"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,0
"2","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,0
"3","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,0
"4","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,6
"5","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,163
"6","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1855
"7","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,5817
"8","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,11249
"9","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,14755
"10","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,14635
"11","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,12618
"12","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,12047
"13","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,12249
"14","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,12730
"15","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,14020
"16","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,12895
"17","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,12286
"18","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,12506
"19","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,12673
"20","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,11779
"21","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,11002
"22","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,9518
"23","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,8678
"24","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,7896
"25","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,7075
"26","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,6220
"27","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,5243
"28","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,4619
"29","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,4324
"30","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,3970
"31","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,3609
"32","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,3414
"33","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,3172
"34","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2914
"35","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2945
"36","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2798
"37","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2763
"38","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2490
"39","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2409
"40","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2343
"41","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2363
"42","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2306
"43","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2242
"44","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2153
"45","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2185
"46","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2028
"47","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,2030
"48","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1943
"49","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1884
"50","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1808
"51","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1827
"52","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1592
"53","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1479
"54","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1326
"55","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1243
"56","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1271
"57","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1148
"58","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1141
"59","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1021
"60","111722","NH","LH","VIS","0.743","LD","W2-3.1","(+)5.500","(+)2.500",797.669461796102,1955.04973106622,"E",247,1,2,1032
