"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,332
"2","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,437
"3","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,632
"4","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,976
"5","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,2639
"6","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,9181
"7","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,12161
"8","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,13033
"9","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,11588
"10","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,11697
"11","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,15404
"12","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,19186
"13","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,18269
"14","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,17799
"15","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,17921
"16","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,17180
"17","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,15518
"18","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,14781
"19","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,14555
"20","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,13403
"21","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,12107
"22","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,10244
"23","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,8790
"24","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,7841
"25","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,6787
"26","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,5816
"27","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,5157
"28","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,4839
"29","111722","NW","LH","MOp","0.762","LD","W3-1.2","(+)2.500","(+)3.500",797.81325884167,1973.15463197785,"E",247,1,2,4080
