"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,0
"2","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,0
"3","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,0
"4","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,0
"5","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,0
"6","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,0
"7","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,0
"8","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,0
"9","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,6
"10","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,139
"11","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,795
"12","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,720
"13","111722","SH P0-P5","RH","VISa","0.051","RS","W3-2.4","(+)2.500","(-)2.500",58.9055318078156,121.14540712833,"E",247,1,2,413
