"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,0
"2","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,0
"3","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,33
"4","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,81
"5","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,84
"6","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,82
"7","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,157
"8","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,226
"9","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,289
"10","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,463
"11","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,1128
"12","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2092
"13","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2486
"14","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2935
"15","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2637
"16","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2286
"17","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2508
"18","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2134
"19","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,1569
"20","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,1016
"21","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,767
"22","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,624
"23","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,502
"24","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,487
"25","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,386
"26","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,450
"27","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,477
"28","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,419
"29","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,384
"30","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,270
"31","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,235
"32","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,209
"33","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,163
"34","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,144
"35","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,120
"36","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,122
"37","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,100
"38","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,78
"39","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,91
"40","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,73
"41","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,91
"42","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,57
"43","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,54
"44","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,45
"45","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,41
"46","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,40
"47","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,35
"48","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,20
"49","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,22
"50","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,21
"51","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,20
"52","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,19
"53","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,26
"54","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,21
"55","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,9
"56","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,18
"57","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,12
"58","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,13
"59","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,20
"60","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,15
"61","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,12
"62","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,13
"63","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,10
"64","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,11
"65","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,3
"66","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,9
"67","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,7
"68","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,5
"69","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,9
"70","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,4
"71","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,6
"72","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2
"73","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2
"74","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,5
"75","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2
"76","111722","NH","LH","GU","0.067","LD","W1-1.1","(+)5.500","(+)2.500",43.8278241563559,2330.85419365474,"E",247,1,2,2
