"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,0
"2","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,0
"3","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,0
"4","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,0
"5","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,0
"6","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,0
"7","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,0
"8","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,0
"9","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,33
"10","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,747
"11","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,2837
"12","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4915
"13","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,6589
"14","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,6606
"15","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,5650
"16","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4642
"17","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4063
"18","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4064
"19","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4440
"20","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4330
"21","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4805
"22","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,6314
"23","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,7973
"24","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,8844
"25","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,8773
"26","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,9098
"27","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,9192
"28","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,8585
"29","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,8079
"30","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,7518
"31","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,6837
"32","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,6154
"33","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,5566
"34","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,5223
"35","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4999
"36","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4423
"37","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,4064
"38","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,3591
"39","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,3466
"40","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,3101
"41","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,2944
"42","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,2649
"43","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,2746
"44","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,2568
"45","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,2439
"46","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,2358
"47","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,2232
"48","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,2173
"49","111722","SH P0-P5","LH","VISp","0.528","RS","W2-3.4","(+)2.500","(-)2.500",286.160556593093,6086.3578780746,"E",247,1,2,1849
