"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,0
"2","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,0
"3","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,0
"4","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,16
"5","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,230
"6","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,107
"7","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,99
"8","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,91
"9","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,88
"10","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,81
"11","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,73
"12","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,73
"13","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,62
"14","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,80
"15","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,314
"16","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,3104
"17","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,8762
"18","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,12113
"19","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,8976
"20","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,5811
"21","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,4996
"22","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,4754
"23","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,5347
"24","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,6212
"25","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,6749
"26","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,7228
"27","111722","SW P0-P5","RH","SSs","0.551","LD","W2-2.2","(+)8.500","(-)1.000",570.684625918731,1440.8667193283,"E",256,1,2,8986
