"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,0
"2","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,0
"3","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,0
"4","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,22
"5","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,186
"6","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,1134
"7","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,1757
"8","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,1952
"9","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,1887
"10","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,1971
"11","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,2387
"12","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,5799
"13","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,11906
"14","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,12508
"15","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,9963
"16","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,7887
"17","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,7814
"18","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,7345
"19","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,7182
"20","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,7198
"21","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,6589
"22","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,5851
"23","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,6101
"24","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,6660
"25","111722","NH","LH","MOp","0.559","LD","W1-2.1","(+)5.500","(+)2.500",531.946893181336,1537.75888936229,"E",256,1,2,7358
