"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,0
"2","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,0
"3","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,0
"4","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,19
"5","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,153
"6","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,71
"7","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,161
"8","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,209
"9","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,207
"10","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,189
"11","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,187
"12","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,175
"13","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,179
"14","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,180
"15","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,188
"16","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,287
"17","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,992
"18","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,1191
"19","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,1162
"20","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,1682
"21","111722","SH P0-P1","LH","RSPd","0.186","JM","W2-2.2","(-)6.000","(-)3.000",83.9874731402754,1196.21354984749,"E",256,1,2,1443
