"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"2","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"3","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"4","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"5","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"6","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"7","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"8","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"9","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"10","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"11","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"12","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,0
"13","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,82
"14","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1834
"15","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,10111
"16","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,15058
"17","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,11601
"18","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,7228
"19","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,5091
"20","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,4862
"21","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,3897
"22","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2864
"23","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2561
"24","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2423
"25","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2353
"26","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2160
"27","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2297
"28","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2379
"29","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2461
"30","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2173
"31","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1953
"32","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1971
"33","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2143
"34","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2386
"35","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2527
"36","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2761
"37","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2915
"38","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,3158
"39","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,3175
"40","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2949
"41","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2907
"42","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2809
"43","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2816
"44","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2736
"45","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2790
"46","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2605
"47","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2648
"48","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2563
"49","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2435
"50","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2178
"51","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,2024
"52","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1881
"53","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1889
"54","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1669
"55","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1634
"56","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1517
"57","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1415
"58","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1411
"59","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1349
"60","111722","SH P0-P5","RH","SSp-m","0.419","RS","W3-1.3","(+)2.500","(-)2.500",569.332174410904,876.050907999347,"E",256,1,2,1264
