"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,0
"2","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,0
"3","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,2
"4","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,680
"5","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,385
"6","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,131
"7","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,112
"8","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,108
"9","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,98
"10","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,92
"11","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,95
"12","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,96
"13","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,94
"14","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,97
"15","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,98
"16","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,89
"17","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,91
"18","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,212
"19","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,1056
"20","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,1670
"21","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,2308
"22","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,3079
"23","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,3129
"24","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,2401
"25","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,2062
"26","111722","NW","LH","RSPagl","0.073","LD","W2-3.2","(+)2.500","(+)3.500",49.1876736324088,2155.01004001016,"E",256,1,2,1735
