"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,0
"2","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,0
"3","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,0
"4","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,2
"5","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,64
"6","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,137
"7","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,104
"8","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,99
"9","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,106
"10","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,95
"11","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,105
"12","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,115
"13","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,129
"14","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,131
"15","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,138
"16","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,154
"17","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,160
"18","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,177
"19","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,165
"20","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,186
"21","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,215
"22","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,309
"23","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,1333
"24","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,4530
"25","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,6032
"26","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,6015
"27","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,4532
"28","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,3506
"29","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,2985
"30","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,3198
"31","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,3407
"32","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,5194
"33","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,6099
"34","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,5087
"35","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,4623
"36","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,4741
"37","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,4212
"38","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,3244
"39","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,2780
"40","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,2558
"41","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,2162
"42","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,2194
"43","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,2210
"44","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,2133
"45","111722","NW","RH","SSp-bfd","0.43","LD","W1-3.1","(+)2.500","(+)3.500",498.776558161447,4491.19830573395,"E",256,1,2,2115
