"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,0
"2","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,0
"3","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,4
"4","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,71
"5","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,90
"6","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,35
"7","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,30
"8","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,25
"9","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,36
"10","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,39
"11","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,40
"12","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,46
"13","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,43
"14","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,52
"15","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,49
"16","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,65
"17","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,75
"18","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,115
"19","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,149
"20","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,171
"21","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,186
"22","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,187
"23","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,250
"24","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,280
"25","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,419
"26","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,918
"27","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,2198
"28","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,3746
"29","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,4410
"30","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,3299
"31","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,2039
"32","111722","NW","LH","SSp-ul","0.156","LD","W1-1.3","(+)2.500","(+)3.500",213.145523287146,330.654198047358,"E",256,1,2,1594
