"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,0
"2","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,0
"3","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,0
"4","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,0
"5","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,0
"6","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,7
"7","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,23
"8","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,31
"9","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,83
"10","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,95
"11","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,282
"12","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,2646
"13","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,3628
"14","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,3144
"15","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,4691
"16","111722","SW P0-P1","LH","SSp-un","0.15","LD","W1-2.3","(+)4.000","(-)1.500",163.200177386315,363.041811521777,"E",256,1,2,3900
