"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,0
"2","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,27
"3","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,230
"4","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,393
"5","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,151
"6","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,84
"7","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,88
"8","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,122
"9","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,174
"10","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,207
"11","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,227
"12","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,487
"13","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,889
"14","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1398
"15","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,2002
"16","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,2970
"17","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,3345
"18","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,3910
"19","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,3448
"20","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,3071
"21","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,3449
"22","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,2657
"23","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1925
"24","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1734
"25","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1644
"26","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1600
"27","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1549
"28","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1451
"29","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1252
"30","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1208
"31","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1252
"32","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1248
"33","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1157
"34","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1069
"35","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1126
"36","111722","NW","RH","RSPv","0.166","LD","W3-3.2","(+)2.500","(+)3.500",195.139663255958,384.716576742214,"E",256,1,2,1142
