"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,0
"2","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,2081
"3","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,3258
"4","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,685
"5","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,655
"6","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,626
"7","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,660
"8","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,594
"9","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,519
"10","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,504
"11","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,611
"12","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,1202
"13","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,3619
"14","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,8837
"15","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,9910
"16","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,8381
"17","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,5645
"18","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,4319
"19","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,4073
"20","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,3483
"21","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,3063
"22","111722","SW P0-P5","LH","GU","0.2","LD","W1-2.1","(+)8.500","(-)1.000",241.012098688902,445.154098088325,"E",256,1,2,2947
