"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,0
"2","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,0
"3","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,169
"4","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,204
"5","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,128
"6","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,96
"7","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,90
"8","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,89
"9","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,74
"10","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,85
"11","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,88
"12","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,106
"13","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,108
"14","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,119
"15","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,138
"16","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,359
"17","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1731
"18","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,2817
"19","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,3189
"20","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,2870
"21","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,2570
"22","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,2830
"23","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,3173
"24","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,3458
"25","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,4046
"26","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,3901
"27","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,4186
"28","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,3934
"29","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,3791
"30","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,3401
"31","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,3240
"32","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,2957
"33","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,2492
"34","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,2248
"35","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,2038
"36","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1853
"37","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1699
"38","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1713
"39","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1665
"40","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1587
"41","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1560
"42","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1531
"43","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1364
"44","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1230
"45","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1213
"46","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1135
"47","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1075
"48","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1089
"49","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,999
"50","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,1017
"51","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,974
"52","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,905
"53","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,867
"54","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,828
"55","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,801
"56","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,758
"57","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,731
"58","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,633
"59","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,668
"60","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,601
"61","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,497
"62","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,489
"63","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,460
"64","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,451
"65","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,411
"66","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,371
"67","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,388
"68","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,368
"69","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,320
"70","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,331
"71","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,275
"72","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,262
"73","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,282
"74","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,241
"75","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,234
"76","111722","NW","LH","VISrl","0.227","LD","W1-3.2","(+)2.500","(+)3.500",234.342745278108,603.415831801188,"E",256,1,2,211
