"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"2","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"3","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"4","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"5","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"6","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"7","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"8","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"9","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"10","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"11","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"12","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"13","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"14","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"15","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"16","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"17","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"18","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"19","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"20","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"21","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"22","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"23","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"24","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"25","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"26","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"27","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"28","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"29","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"30","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"31","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"32","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"33","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"34","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,0
"35","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,6
"36","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,37
"37","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,78
"38","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,49
"39","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,42
"40","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,59
"41","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,61
"42","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,48
"43","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,55
"44","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,56
"45","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,50
"46","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,52
"47","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,54
"48","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,65
"49","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,42
"50","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,50
"51","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,54
"52","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,45
"53","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,47
"54","111722","SW P0-P5","LH","ACAv","0.013","LD","W2-2.3","(+)8.500","(-)1.000",3.2348955503385,54.8201602198166,"E",256,1,2,49
