"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,0
"2","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,0
"3","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,0
"4","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,0
"5","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,0
"6","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,0
"7","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,0
"8","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,0
"9","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,0
"10","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,7
"11","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,27
"12","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,59
"13","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,222
"14","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,763
"15","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,2155
"16","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,3909
"17","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,3463
"18","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,2876
"19","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,2777
"20","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,3136
"21","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,4354
"22","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,5614
"23","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,6387
"24","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,8195
"25","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,8917
"26","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,6436
"27","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,4496
"28","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,3541
"29","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,3143
"30","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,2749
"31","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,2574
"32","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,2398
"33","111722","SH P0-P1","LH","SSp-ll","0.433","JM","W3-1.3","(-)6.000","(-)3.000",235.507511972377,3477.40053874734,"E",256,1,2,2331
