"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,0
"2","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,3
"3","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,22
"4","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,27
"5","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,46
"6","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,59
"7","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,66
"8","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,97
"9","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,91
"10","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,489
"11","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,7009
"12","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,13534
"13","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,14182
"14","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,18447
"15","111722","NH","RH","TEa","0.428","LD","W3-3.1","(+)5.500","(+)2.500",146.499304214933,11555.9074238643,"E",256,1,2,17362
