"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,0
"2","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,0
"3","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,0
"4","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,0
"5","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,0
"6","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,2
"7","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,45
"8","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,58
"9","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,59
"10","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,90
"11","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,903
"12","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,7223
"13","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,14075
"14","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,9255
"15","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,5154
"16","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,4405
"17","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,6023
"18","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,9429
"19","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,8703
"20","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,6807
"21","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,5514
"22","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,4791
"23","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,3951
"24","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,3316
"25","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,2933
"26","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,2576
"27","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,2331
"28","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,2278
"29","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,2164
"30","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,1994
"31","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,1748
"32","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,1567
"33","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,1544
"34","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,1380
"35","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,1262
"36","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,1180
"37","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,1104
"38","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,1049
"39","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,944
"40","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,877
"41","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,717
"42","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,609
"43","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,557
"44","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,501
"45","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,437
"46","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,423
"47","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,370
"48","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,355
"49","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,314
"50","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,290
"51","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,254
"52","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,252
"53","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,249
"54","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,208
"55","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,208
"56","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,199
"57","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,182
"58","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,188
"59","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,180
"60","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,162
"61","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,149
"62","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,143
"63","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,121
"64","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,118
"65","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,100
"66","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,87
"67","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,93
"68","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,68
"69","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,68
"70","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,66
"71","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,49
"72","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,51
"73","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,52
"74","111722","NH","RH","VISC","0.289","LD","W3-2.2","(+)5.500","(+)2.500",352.798311083726,614.985823146605,"E",256,1,2,48
